EvalType,Method,Task,AccMean,AccStdev,AccVar
LOSO,CnnModel,Knot_Tying,0.9421582102775574,0.05995961491728511,0.003595155421029119
LOSO,CnnModel,Needle_Passing,0.8484398722648621,0.09812801926104293,0.009629108164095613
LOSO,CnnModel,Suturing,0.9364437580108642,0.07223195010923872,0.005217454616583552
LOSO,LSTMModel,Knot_Tying,0.5795741438865661,0.13897755014056082,0.019314759443072094
LOSO,LSTMModel,Needle_Passing,0.6457628011703491,0.06524655245788556,0.004257112607639613
LOSO,LSTMModel,Suturing,0.8475241661071777,0.09906578846465128,0.009814030444123035
LOSO,NeuralODECnnModel,Knot_Tying,0.9365813612937928,0.0565988505292643,0.003203429881234002
LOSO,NeuralODECnnModel,Needle_Passing,0.8250374794006348,0.13324002791697984,0.01775290503931757
LOSO,NeuralODECnnModel,Suturing,0.9345982313156128,0.05787754530693162,0.0033498102507559225
LOUO,CnnModel,Knot_Tying,0.9713551327586174,0.03355098850187126,0.0011256688294526973
LOUO,CnnModel,Needle_Passing,0.8941525135721479,0.11885866334145545,0.014127381851317447
LOUO,CnnModel,Suturing,0.9761923626065254,0.028686171283470674,0.0008228964229046176
LOUO,LSTMModel,Knot_Tying,0.952893078327179,0.03744876274842819,0.0014024098313880629
LOUO,LSTMModel,Needle_Passing,0.7920823778424945,0.09190368404802723,0.008446287141599616
LOUO,LSTMModel,Suturing,0.9259563088417053,0.05443471198135334,0.0029631378684928933
LOUO,NeuralODECnnModel,Knot_Tying,0.9623453915119171,0.031911518711191154,0.0010183450264547034
LOUO,NeuralODECnnModel,Needle_Passing,0.9289906280381339,0.0923550131270614,0.008529448449699684
LOUO,NeuralODECnnModel,Suturing,0.9661418125033379,0.028528972636979084,0.0008139022797215012
